*	VF1	VF2
0.00335603798770601	5.03657960586782	2.51731539892933
0.00335605019473717	5.035454743999	2.51734561017494
0.00335607460879972	5.03190429034175	2.51740598088621
0.00335608681583088	5.02802038194496	2.51743610231333
0.00335609291934658	5.02538113557362	2.51745114719266
0.00335611122989343	5.00590882407507	2.517496100534
0.00335613564395576	4.70069095645771	2.51755272820543
0.0033561386957135	4.61555941057385	2.51755911457092
0.00335615700626035	4.04429838235633	2.5175917768012
0.00335617795521559	3.37911786547605	2.5176165661732
0.00335621412236331	2.23095249480094	2.51762752236925
0.00335628645665875	-0.0629193322361785	2.51752844002966
0.00335637078362705	-2.73085015620405	2.51720959605073
0.00335646425163194	-4.92209292726546	2.51664617791149
0.00335648761863316	-5.00123474114619	2.51648082703197
0.00335652537466635	-5.00073377785323	2.51620877968152
0.00335657295640202	-4.99554464130404	2.5158636616293
0.00335662809293469	-4.99516901694122	2.51546281873453
0.00335673836599981	-4.99528265627031	2.51466057920748
0.00335695891213028	-4.9953331827123	2.51305585549424
0.003357400004391	-4.99540919945187	2.50984701289886
0.00335828218891243	-4.99556283533243	2.50343301108515
0.0033600465579553	-4.9958697605327	2.49062073636953
0.00336357529604125	-4.99648161533498	2.46505977207271
0.00337063277221317	-4.99769737524096	2.41419170676116
0.00338474772455699	-5.0000973652678	2.31346261181523
0.00341297762924442	-5.00477344901911	2.11596266062601
0.00346943743861927	-5.01364731174316	1.73625178388075
0.00356943743861926	-5.02789610557697	1.1106990256339
0.00366943743861925	-5.04040278651507	0.540960854297299
0.00376943743861924	-5.05131427433567	0.0224089400457668
0.00385821389425267	-5.05977461664122	-0.398534667657073
0.00395821389425266	-5.06804954253329	-0.832322739599444
0.00405821389425265	-5.07511163133548	-1.22705087933246
0.00415821389425264	-5.08106999867169	-1.58619267990574
0.00425821389425263	-5.08602477622728	-1.91294124581375
0.00435821389425262	-5.09006721527482	-2.21021282724787
0.0044582138942526	-5.0825942400367	-2.47992974474869
0.00446446389425259	-5.07568114376818	-2.49578829353209
0.00446758889425269	-5.07076736313809	-2.50367881217426
0.00447383889425268	-5.04596056190713	-2.51931252442701
0.00447388772237778	-5.04529369003974	-2.51943388361675
0.00447398537862775	-5.04306478437878	-2.51967640751443
0.00447403420675285	-5.04093096044941	-2.51979751479715
0.0044740586208154	-5.03944960408659	-2.51985803166243
