*Frequency 	VF2-abs (dB)	VF2-phase (deg)	VF1-abs (dB)	VF1-phase (deg)
46.238102139926	40.0843889941101	-0.447004088507245	0	0
46.9894108605215	40.0843803670848	-0.45426702043245	0	0
47.7529273657691	40.084371457444	-0.461647950634941	0	0
48.5288500162121	40.0843622559301	-0.469148795695707	0	0
49.3173803954936	40.084352752982	-0.476771503301178	0	0
50.1187233627272	40.0843429387259	-0.484518052746841	0	0
50.9330871057195	40.0843328029642	-0.492390455448943	0	0
51.7606831950568	40.0843223351656	-0.500390755464427	0	0
52.6017266390706	40.0843115244536	-0.508521030019203	0	0
53.4564359396972	40.0843003595958	-0.516783390044916	0	0
54.3250331492433	40.0842888289916	-0.525179980724311	0	0
55.2077439280757	40.0842769206608	-0.533712982045357	0	0
56.1047976032471	40.0842646222306	-0.54238460936425	0	0
57.0164272280747	40.0842519209231	-0.551197113977438	0	0
